biorxiv_doi,preprint_category,preprint_date,published_date,days_to_publication,published_journal,jaccard_similarity,preprint_word_count,published_word_count,year,primary_label,primary_hedging,preprint_primary_type,published_primary_type,s1_label,s1_hedging,s2_label,s2_hedging,source
10.1101/2021.05.12.443894,neuroscience,2021-05-13,2021-11-01,172.0,PLoS genetics,0.7978,329,227,2021,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.06.19.449065,bioengineering,2021-06-20,2021-08-19,60.0,Tissue engineering. Part A,0.8358,271,361,2021,unchanged,unchanged,association,association,minor,unchanged,unchanged,unchanged,pilot
10.1101/2021.05.12.443771,evolutionary biology,2021-05-13,2021-11-24,195.0,Proceedings. Biological sciences,0.7083,251,200,2021,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2022.04.12.488021,bioinformatics,2022-04-13,2023-04-20,372.0,BMC bioinformatics,1.0,121,121,2022,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.02.12.938563,genomics,2020-02-12,2021-12-21,678.0,Genome research,0.9464,177,181,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.03.27.436882,cell biology,2021-03-28,2021-11-18,235.0,Hepatology communications,0.8881,209,209,2021,unchanged,unchanged,descriptive,descriptive,major,unchanged,unchanged,unchanged,pilot
10.1101/2022.06.23.497320,cell biology,2022-06-25,2023-02-08,228.0,The Journal of cell biology,1.0,152,154,2022,minor,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.09.12.459884,cell biology,2021-09-12,2022-05-31,261.0,Journal of cell science,0.5971,182,162,2021,major,weakened,mechanism,mechanism,major,unchanged,unchanged,unchanged,pilot
10.1101/2020.07.03.186262,plant biology,2020-07-03,2021-01-12,193.0,PLoS pathogens,0.6839,228,173,2020,major,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,pilot
10.1101/2020.10.07.329581,microbiology,2020-10-08,2021-01-28,112.0,Frontiers in microbiology,0.9256,201,202,2020,unchanged,unchanged,mechanism,mechanism,minor,weakened,unchanged,unchanged,pilot
10.1101/2023.07.13.548759,cell biology,2023-07-14,2024-09-09,423.0,Cell genomics,0.56,160,144,2023,minor,unchanged,method,method,major,,minor,unchanged,pilot
10.1101/2021.04.23.440733,ecology,2021-04-26,2022-03-16,324.0,Frontiers in Marine Science,0.9149,349,358,2021,unchanged,unchanged,association,association,unchanged,unchanged,minor,unchanged,pilot
10.1101/2021.02.26.433124,bioengineering,2021-02-27,2021-05-28,90.0,Molecular & cellular proteomics : MCP,0.9613,258,258,2021,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.02.07.527498,cancer biology,2023-02-07,2023-11-23,289.0,Scientific reports,0.7753,392,250,2023,unchanged,unchanged,therapeutic,therapeutic,unchanged,unchanged,minor,unchanged,pilot
10.1101/2022.08.15.503894,neuroscience,2022-08-15,2024-09-05,752.0,"Development (Cambridge, England)",0.8818,174,178,2022,minor,unchanged,mechanism,mechanism,unchanged,unchanged,major,weakened,pilot
10.1101/2023.05.08.539871,cell biology,2023-05-09,2023-09-09,123.0,Cellular signalling,0.6899,264,215,2023,major,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2020.03.03.973099,bioinformatics,2020-03-05,2021-03-02,362.0,Scientific reports,0.7358,142,152,2020,minor,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.08.26.457838,microbiology,2021-08-27,2021-12-20,115.0,The Journal of biological chemistry,1.0,250,250,2021,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.11.09.566383,cell biology,2023-11-10,2024-03-12,123.0,Journal of medicinal chemistry,0.9828,149,151,2023,unchanged,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,pilot
10.1101/2020.04.14.041392,evolutionary biology,2020-04-15,2021-02-10,301.0,BMC biology,0.4857,144,366,2020,minor,weakened,mechanism,mechanism,major,,major,,pilot
10.1101/2024.05.08.593085,neuroscience,2024-05-08,2025-01-20,257.0,Neuron,1.0,149,149,2024,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,minor,unchanged,pilot
10.1101/2021.07.12.452129,plant biology,2021-07-13,2022-01-16,187.0,Plant physiology,0.9344,175,185,2021,minor,strengthened,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2022.11.02.514901,ecology,2022-11-03,2023-02-13,102.0,Frontiers in Ecology and Evolution,0.7857,297,313,2022,minor,unchanged,descriptive,descriptive,minor,weakened,unchanged,unchanged,pilot
10.1101/2020.11.22.393108,bioinformatics,2020-11-22,2021-09-01,283.0,Molecular biology and evolution,0.7661,168,170,2020,minor,unchanged,descriptive,descriptive,major,,unchanged,unchanged,pilot
10.1101/2022.04.21.489045,bioinformatics,2022-04-22,2023-01-09,262.0,Frontiers in chemistry,0.7473,125,121,2022,minor,unchanged,method,method,minor,unchanged,minor,unchanged,pilot
10.1101/2023.06.23.546336,neuroscience,2023-06-25,2024-06-25,366.0,Aging cell,0.5062,177,202,2023,minor,weakened,association,association,major,unchanged,minor,weakened,pilot
10.1101/2022.12.21.521366,neuroscience,2022-12-21,2023-05-30,160.0,"Network neuroscience (Cambridge, Mass.)",0.6277,320,177,2022,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.05.23.542020,molecular biology,2023-05-24,2023-10-24,153.0,Scientific reports,0.9333,129,129,2023,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2024.10.30.620466,bioinformatics,2024-11-01,2024-12-30,59.0,Translational oncology,0.9537,218,217,2024,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.05.09.491217,bioengineering,2022-05-10,2022-07-12,63.0,Photochemistry and photobiology,0.9593,186,190,2022,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.08.27.457998,animal behavior and cognition,2021-08-28,2022-02-24,180.0,The Journal of experimental biology,0.9586,260,231,2021,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.04.14.439847,genetics,2021-04-14,2022-09-19,523.0,Proceedings of the National Academy of Sciences of the United States of America,0.9191,175,183,2021,unchanged,unchanged,method,method,minor,unchanged,minor,unchanged,pilot
10.1101/2023.12.31.571469,neuroscience,2024-01-01,2024-04-06,96.0,Biology direct,0.9279,181,187,2024,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,pilot
10.1101/2021.10.01.462728,neuroscience,2021-10-01,2022-09-02,336.0,Nature communications,0.6929,202,150,2021,minor,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,pilot
10.1101/2022.12.21.521478,genomics,2022-12-22,2023-06-29,189.0,"G3 (Bethesda, Md.)",0.6888,382,237,2022,unchanged,unchanged,descriptive,descriptive,major,unchanged,unchanged,unchanged,pilot
10.1101/2023.07.19.549746,neuroscience,2023-07-21,2023-12-07,139.0,"Imaging neuroscience (Cambridge, Mass.)",0.9623,299,303,2023,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.05.28.118992,genomics,2020-05-28,2021-03-09,285.0,"Science (New York, N.Y.)",0.3652,244,136,2020,minor,strengthened,descriptive,descriptive,major,,major,,pilot
10.1101/2021.06.23.449550,biophysics,2021-06-23,2021-10-29,128.0,Proceedings of the National Academy of Sciences of the United States of America,0.9369,153,154,2021,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2024.07.08.602613,genetics,2024-07-10,2025-01-10,184.0,Genome research,0.9633,208,204,2024,minor,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.01.31.478406,microbiology,2022-01-31,2022-07-07,157.0,Journal of biomedical science,0.3085,267,149,2022,major,strengthened,descriptive,descriptive,major,unchanged,major,unchanged,pilot
10.1101/2022.05.25.493352,microbiology,2022-05-25,2022-08-08,75.0,mSystems,0.9891,381,373,2022,minor,unchanged,association,association,minor,unchanged,minor,unchanged,pilot
10.1101/2025.01.09.632273,bioinformatics,2025-01-14,2025-02-13,30.0,Bioinformatics advances,0.9103,207,203,2025,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.10.02.560626,neuroscience,2023-10-04,2024-04-17,196.0,PLoS computational biology,0.9815,293,293,2023,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.09.23.309591,genetics,2020-09-23,2021-06-17,267.0,PLoS genetics,0.3652,473,234,2020,major,weakened,mechanism,mechanism,minor,unchanged,unchanged,unchanged,pilot
10.1101/2021.10.19.465045,biochemistry,2021-10-20,2022-01-24,96.0,The Journal of biological chemistry,0.7844,241,250,2021,major,strengthened,descriptive,descriptive,major,unchanged,minor,unchanged,pilot
10.1101/2022.10.13.512166,genomics,2022-10-17,2023-05-12,207.0,American journal of human genetics,0.7056,243,277,2022,minor,unchanged,association,association,minor,unchanged,minor,unchanged,pilot
10.1101/2020.10.14.338871,evolutionary biology,2020-10-14,2021-02-19,128.0,Molecular biology and evolution,0.75,292,253,2020,minor,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,pilot
10.1101/2021.03.31.437980,neuroscience,2021-04-02,2021-07-16,105.0,The European journal of neuroscience,0.9433,227,226,2021,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.06.25.545688,cell biology,2023-06-26,2023-08-10,45.0,The Journal of biological chemistry,0.8919,211,230,2023,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.10.24.563270,bioengineering,2023-10-27,2024-07-27,274.0,Scientific reports,0.4634,147,202,2023,minor,unchanged,null_result,null_result,major,,major,,pilot
10.1101/2021.07.26.453808,microbiology,2021-07-27,2022-06-14,322.0,Molecular biology and evolution,0.8588,244,228,2021,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.05.27.446062,physiology,2021-05-29,2021-07-07,39.0,Heliyon,1.0,161,161,2021,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.06.02.446695,animal behavior and cognition,2021-06-02,2022-01-10,222.0,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",0.8584,154,179,2021,unchanged,unchanged,association,association,minor,unchanged,minor,unchanged,pilot
10.1101/2023.02.10.528020,animal behavior and cognition,2023-02-12,2023-03-22,38.0,Animals : an open access journal from MDPI,0.72,344,201,2023,major,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.05.02.490272,microbiology,2022-05-02,2022-12-19,231.0,PLoS pathogens,0.6528,462,276,2022,unchanged,unchanged,association,association,minor,unchanged,unchanged,unchanged,pilot
10.1101/2024.09.14.613043,cancer biology,2024-09-19,2024-12-09,81.0,The Journal of experimental medicine,0.8273,198,154,2024,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.07.26.550769,microbiology,2023-07-27,2023-09-19,54.0,Biofilm,0.9754,205,209,2023,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,pilot
10.1101/2021.05.25.445610,bioinformatics,2021-05-26,2021-11-17,175.0,BMC genomics,0.5429,101,195,2021,minor,unchanged,method,method,minor,unchanged,major,,pilot
10.1101/2022.06.13.495899,cell biology,2022-06-13,2022-10-12,121.0,Nature communications,1.0,157,157,2022,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.09.03.268276,systems biology,2020-09-04,2021-01-29,147.0,Scientific reports,0.9829,187,187,2020,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,major,unchanged,pilot
10.1101/2022.10.08.511450,bioinformatics,2022-10-10,2023-05-30,232.0,Genome research,0.9769,176,181,2022,minor,unchanged,method,method,minor,unchanged,unchanged,unchanged,pilot
10.1101/2022.06.03.494721,bioinformatics,2022-06-04,2023-04-02,302.0,"Bioinformatics (Oxford, England)",0.9358,162,177,2022,minor,unchanged,method,method,unchanged,unchanged,minor,unchanged,pilot
10.1101/2020.12.03.410829,bioinformatics,2020-12-04,2021-12-17,378.0,BMC bioinformatics,0.9179,324,320,2020,unchanged,unchanged,method,method,minor,unchanged,unchanged,unchanged,pilot
10.1101/2021.03.01.433327,genomics,2021-03-01,2021-06-11,102.0,Molecular biology and evolution,0.7874,423,252,2021,unchanged,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,pilot
10.1101/2022.04.11.487894,neuroscience,2022-04-11,2022-09-16,158.0,NeuroImage,0.9018,153,156,2022,minor,unchanged,mechanism,mechanism,major,unchanged,minor,unchanged,pilot
10.1101/2024.01.31.578143,bioinformatics,2024-02-02,2024-03-07,34.0,Bioinformatics advances,0.9845,174,172,2024,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.09.18.508416,evolutionary biology,2022-09-19,2023-06-29,283.0,Evolutionary applications,0.9793,252,253,2022,unchanged,unchanged,descriptive,descriptive,minor,unchanged,unchanged,unchanged,pilot
10.1101/2021.10.24.465423,microbiology,2021-10-25,2021-12-23,59.0,AIMS microbiology,0.9571,203,211,2021,unchanged,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,pilot
10.1101/2024.07.02.601766,neuroscience,2024-07-04,2024-09-30,88.0,Psychopharmacology,0.9643,263,263,2024,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2024.08.05.606733,bioengineering,2024-08-07,2025-02-16,193.0,Advanced healthcare materials,0.9645,200,202,2024,unchanged,unchanged,association,association,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.05.24.493200,neuroscience,2022-05-25,2022-11-28,187.0,"Journal of experimental psychology. Learning, memory, and cognition",0.9195,222,232,2022,minor,unchanged,null_result,null_result,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2021.10.12.464110,neuroscience,2021-10-13,2022-01-27,106.0,"Network neuroscience (Cambridge, Mass.)",0.8279,192,190,2021,unchanged,unchanged,method,method,major,unchanged,unchanged,unchanged,pilot
10.1101/2020.04.23.058552,neuroscience,2020-04-25,2021-03-16,325.0,"Cerebral cortex (New York, N.Y. : 1991)",0.717,251,193,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,pilot
10.1101/2024.07.23.604825,cell biology,2024-07-25,2025-01-16,175.0,Aging cell,0.9658,195,203,2024,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,pilot
10.1101/2022.01.18.476775,cancer biology,2022-01-20,2022-05-08,108.0,Cellular and molecular life sciences : CMLS,0.6374,247,228,2022,minor,weakened,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2020.06.27.174904,neuroscience,2020-06-28,2021-01-22,208.0,Molecular autism,0.9252,352,354,2020,unchanged,unchanged,method,method,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2024.03.18.585469,systems biology,2024-03-19,2024-09-19,184.0,NPJ biofilms and microbiomes,1.0,163,159,2024,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.12.23.424204,cell biology,2020-12-24,2021-04-15,112.0,The Journal of biological chemistry,0.6183,245,258,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,major,weakened,pilot
10.1101/2022.04.11.487892,cancer biology,2022-04-11,2022-05-30,49.0,Nature chemical biology,0.3886,234,148,2022,major,unchanged,mechanism,mechanism,minor,unchanged,major,strengthened,pilot
10.1101/460782,microbiology,2018-11-02,2022-01-21,1176.0,"Children (Basel, Switzerland)",0.4413,441,221,2018,major,unchanged,association,association,major,,major,unchanged,pilot
10.1101/2023.07.11.548533,neuroscience,2023-07-12,2024-04-03,266.0,Cell death & disease,0.9739,263,264,2023,unchanged,unchanged,descriptive,descriptive,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.11.02.348789,neuroscience,2020-11-02,2021-02-08,98.0,Molecular metabolism,0.932,181,177,2020,unchanged,unchanged,mechanism,mechanism,minor,unchanged,unchanged,unchanged,pilot
10.1101/2023.07.26.550742,plant biology,2023-07-28,2023-11-16,111.0,The Plant cell,0.618,238,199,2023,unchanged,unchanged,method,method,minor,unchanged,major,,pilot
10.1101/2020.10.26.354365,cell biology,2020-10-27,2024-01-17,1177.0,iScience,1.0,147,147,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.07.14.202507,biophysics,2020-07-15,2021-12-10,513.0,Science advances,0.9904,150,150,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,minor,unchanged,pilot
10.1101/2020.06.23.143446,physiology,2020-06-26,2021-01-25,213.0,The Journal of Physiology,0.4537,277,295,2020,minor,unchanged,null_result,null_result,major,,major,,pilot
10.1101/2021.07.21.453182,microbiology,2021-07-21,2021-11-01,103.0,"Microbiology (Reading, England)",0.944,243,240,2021,major,strengthened,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2022.06.03.494747,microbiology,2022-06-04,2022-09-30,118.0,ACS omega,0.7866,216,195,2022,unchanged,unchanged,descriptive,descriptive,minor,unchanged,minor,unchanged,pilot
10.1101/2024.08.09.607089,ecology,2024-08-10,2024-10-24,75.0,Applied and environmental microbiology,0.9887,367,367,2024,minor,unchanged,association,association,minor,unchanged,unchanged,unchanged,pilot
10.1101/2021.06.02.446707,ecology,2021-06-02,2021-10-02,122.0,Microbial ecology,0.9612,230,228,2021,unchanged,unchanged,association,association,minor,unchanged,unchanged,unchanged,pilot
10.1101/2021.03.16.435664,genetics,2021-03-16,2022-03-07,356.0,"Genetics, selection, evolution : GSE",0.7113,245,348,2021,major,strengthened,association,association,minor,strengthened,major,unchanged,pilot
10.1101/2020.07.27.223032,molecular biology,2020-07-28,2021-05-29,305.0,Nucleic acids research,0.8629,150,164,2020,minor,weakened,mechanism,mechanism,unchanged,unchanged,minor,unchanged,pilot
10.1101/2020.03.09.983361,evolutionary biology,2020-03-09,2021-01-25,322.0,PLoS genetics,0.4535,316,189,2020,major,strengthened,association,mechanism,unchanged,unchanged,minor,strengthened,pilot
10.1101/2024.10.05.616838,microbiology,2024-10-06,2024-12-02,57.0,FEBS letters,0.4293,273,121,2024,minor,unchanged,method,method,minor,unchanged,minor,unchanged,pilot
10.1101/2020.12.11.420000,synthetic biology,2020-12-11,2022-10-18,676.0,Nature communications,0.8611,150,151,2020,minor,unchanged,association,association,minor,unchanged,minor,unchanged,pilot
10.1101/2021.01.25.428046,cancer biology,2021-01-26,2022-04-19,448.0,Cell reports. Medicine,0.7185,189,138,2021,minor,unchanged,descriptive,descriptive,major,,major,,pilot
10.1101/2024.07.22.604529,bioengineering,2024-07-23,2025-01-10,171.0,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",0.7829,150,159,2024,minor,unchanged,method,method,minor,unchanged,major,strengthened,pilot
10.1101/2020.05.18.101469,neuroscience,2020-05-20,2021-01-26,251.0,The Journal of Neuroscience,0.8136,371,370,2020,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2022.09.16.507284,biochemistry,2022-09-16,2022-12-23,98.0,Journal of neurochemistry,0.9907,143,145,2022,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2020.10.07.330092,genomics,2020-10-08,2021-03-27,170.0,"G3 (Bethesda, Md.)",1.0,176,175,2020,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.03.16.532925,evolutionary biology,2023-03-20,2025-02-04,687.0,Molecular ecology resources,0.8387,244,251,2023,minor,unchanged,method,method,minor,unchanged,minor,unchanged,pilot
10.1101/2021.12.17.473116,microbiology,2021-12-18,2022-09-26,282.0,Biofilm,0.9655,161,161,2021,unchanged,unchanged,association,association,minor,unchanged,unchanged,unchanged,pilot
10.1101/2024.06.16.599205,neuroscience,2024-06-17,2024-11-21,157.0,Proceedings of the National Academy of Sciences of the United States of America,0.4496,506,235,2024,minor,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2021.06.26.449853,neuroscience,2021-06-26,2022-05-17,325.0,Glia,0.5682,327,257,2021,major,weakened,mechanism,mechanism,major,unchanged,minor,unchanged,pilot
10.1101/2022.05.26.493595,cancer biology,2022-05-26,2023-01-12,231.0,Molecular cell,0.7547,165,141,2022,unchanged,unchanged,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2022.10.31.514611,cell biology,2022-11-01,2023-03-14,133.0,Scientific reports,0.9058,369,374,2022,major,strengthened,mechanism,mechanism,minor,unchanged,minor,unchanged,pilot
10.1101/2020.03.27.011304,plant biology,2020-03-29,2021-01-31,308.0,Forest Pathology,0.5321,298,309,2020,minor,weakened,association,association,unchanged,unchanged,minor,strengthened,pilot
10.1101/2020.10.07.329383,ecology,2020-10-08,2021-03-31,174.0,Frontiers in Ecology and Evolution,0.9706,211,211,2020,minor,unchanged,method,method,minor,unchanged,unchanged,unchanged,pilot
10.1101/2022.12.09.519746,pharmacology and toxicology,2022-12-12,2023-05-18,157.0,Environmental toxicology and pharmacology,0.9818,150,150,2022,unchanged,unchanged,association,association,minor,weakened,unchanged,unchanged,pilot
10.1101/2021.07.04.451084,microbiology,2021-07-05,2022-03-22,260.0,Microbial genomics,0.7156,405,272,2021,unchanged,unchanged,mechanism,mechanism,unchanged,unchanged,unchanged,unchanged,pilot
10.1101/2023.09.12.557472,immunology,2023-09-14,2024-05-01,230.0,PloS one,0.5287,221,201,2023,minor,unchanged,association,association,minor,unchanged,minor,unchanged,pilot
10.1101/2020.10.05.326306,pharmacology and toxicology,2020-10-06,2021-01-13,99.0,The international journal of neuropsychopharmacology,0.6445,388,251,2020,major,unchanged,mechanism,mechanism,unchanged,unchanged,major,unchanged,pilot
10.1101/2023.05.16.541009,molecular biology,2023-05-16,2024-12-03,567.0,Nature communications,0.5886,250,144,2023,minor,unchanged,mechanism,mechanism,major,,major,,pilot
